exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
961,702,0,0,0,0,0,2935,5402,0.0,186,37.2
940,701,0,0,0,0,0,2979,5380,0.0,187,37.4
945,681,0,0,0,0,0,3034,5340,0.0,188,37.6
947,681,0,0,0,0,0,3066,5306,0.0,189,37.8
919,689,0,0,0,0,0,3110,5282,0.0,190,38.0
933,683,0,0,0,0,0,3145,5239,0.0,191,38.2
919,672,0,0,0,0,0,3192,5217,0.0,192,38.4
909,656,0,0,0,0,0,3244,5191,0.0,193,38.6
899,643,0,0,0,0,0,3294,5164,0.0,194,38.8
902,652,0,0,0,0,0,3317,5129,0.0,195,39.0
885,650,0,0,0,0,0,3358,5107,0.0,196,39.2
877,645,0,0,0,0,0,3396,5082,0.0,197,39.4
867,635,0,0,0,0,0,3441,5057,0.0,198,39.6
852,636,0,0,0,0,0,3470,5042,0.0,199,39.8
849,629,0,0,0,0,0,3508,5014,0.0,200,40.0
834,609,0,0,0,0,0,3559,4998,0.0,201,40.2
819,612,0,0,0,0,0,3596,4973,0.0,202,40.4
813,607,0,0,0,0,0,3628,4952,0.0,203,40.6
788,610,0,0,0,0,0,3664,4938,0.0,204,40.8
788,608,0,0,0,0,0,3696,4908,0.0,205,41.0
771,607,0,0,0,0,0,3735,4887,0.0,206,41.2
752,614,0,0,0,0,0,3775,4859,0.0,207,41.4
736,610,0,0,0,0,0,3816,4838,0.0,208,41.6
721,600,0,0,0,0,0,3855,4824,0.0,209,41.8
707,602,0,0,0,0,0,3888,4803,0.0,210,42.0
695,591,0,0,0,0,0,3925,4789,0.0,211,42.2
686,586,0,0,0,0,0,3961,4767,0.0,212,42.4
678,576,0,0,0,0,0,3992,4754,0.0,213,42.6
672,572,0,0,0,0,0,4022,4734,0.0,214,42.8
653,578,0,0,0,0,0,4044,4725,0.0,215,43.0
641,577,0,0,0,0,0,4074,4708,0.0,216,43.2
616,591,0,0,0,0,0,4096,4697,0.0,217,43.4
602,586,0,0,0,0,0,4131,4681,0.0,218,43.6
589,578,0,0,0,0,0,4164,4669,0.0,219,43.8
579,564,0,0,0,0,0,4199,4658,0.0,220,44.0
568,555,0,0,0,0,0,4230,4647,0.0,221,44.2
556,538,0,0,0,0,0,4271,4635,0.0,222,44.4
548,533,0,0,0,0,0,4298,4621,0.0,223,44.6
532,534,0,0,0,0,0,4327,4607,0.0,224,44.8
526,517,0,0,0,0,0,4360,4597,0.0,225,45.0
517,506,0,0,0,0,0,4387,4590,0.0,226,45.2
502,501,0,0,0,0,0,4412,4585,0.0,227,45.4
495,489,0,0,0,0,0,4445,4571,0.0,228,45.6
483,484,0,0,0,0,0,4474,4559,0.0,229,45.8
472,482,0,0,0,0,0,4495,4551,0.0,230,46.0
456,478,0,0,0,0,0,4524,4542,0.0,231,46.2
446,470,0,0,0,0,0,4549,4535,0.0,232,46.4
438,462,0,0,0,0,0,4572,4528,0.0,233,46.6
433,460,0,0,0,0,0,4593,4514,0.0,234,46.8
433,445,0,0,0,0,0,4623,4499,0.0,235,47.0
432,429,0,0,0,0,0,4653,4486,0.0,236,47.2
418,429,0,0,0,0,0,4672,4481,0.0,237,47.4
411,420,0,0,0,0,0,4700,4469,0.0,238,47.6
402,401,0,0,0,0,0,4734,4463,0.0,239,47.8
393,393,0,0,0,0,0,4761,4453,0.0,240,48.0
385,385,0,0,0,0,0,4785,4445,0.0,241,48.2
378,376,0,0,0,0,0,4811,4435,0.0,242,48.4
364,372,0,0,0,0,0,4833,4431,0.0,243,48.6
359,364,0,0,0,0,0,4856,4421,0.0,244,48.8
348,355,0,0,0,0,0,4883,4414,0.0,245,49.0
337,344,0,0,0,0,0,4910,4409,0.0,246,49.2
331,340,0,0,0,0,0,4927,4402,0.0,247,49.4
326,331,0,0,0,0,0,4948,4395,0.0,248,49.6
315,322,0,0,0,0,0,4972,4391,0.0,249,49.8
311,311,0,0,0,0,0,4993,4385,0.0,250,50.0
309,309,0,0,0,0,0,5004,4378,0.0,251,50.2
301,307,0,0,0,0,0,5022,4370,0.0,252,50.4
294,303,0,0,0,0,0,5038,4365,0.0,253,50.6
294,290,0,0,0,0,0,5060,4356,0.0,254,50.8
285,282,0,0,0,0,0,5078,4355,0.0,255,51.0
281,279,0,0,0,0,0,5096,4344,0.0,256,51.2
273,272,0,0,0,0,0,5113,4342,0.0,257,51.4
269,262,0,0,0,0,0,5132,4337,0.0,258,51.6
264,260,0,0,0,0,0,5143,4333,0.0,259,51.8
254,253,0,0,0,0,0,5166,4327,0.0,260,52.0
252,249,0,0,0,0,0,5180,4319,0.0,261,52.2
246,244,0,0,0,0,0,5193,4317,0.0,262,52.4
236,251,0,0,0,0,0,5201,4312,0.0,263,52.6
228,245,0,0,0,0,0,5215,4312,0.0,264,52.8
222,244,0,0,0,0,0,5228,4306,0.0,265,53.0
219,236,0,0,0,0,0,5243,4302,0.0,266,53.2
214,224,0,0,0,0,0,5262,4300,0.0,267,53.4
206,216,0,0,0,0,0,5282,4296,0.0,268,53.6
204,212,0,0,0,0,0,5294,4290,0.0,269,53.8
200,208,0,0,0,0,0,5305,4287,0.0,270,54.0
194,202,0,0,0,0,0,5322,4282,0.0,271,54.2
188,196,0,0,0,0,0,5335,4281,0.0,272,54.4
183,194,0,0,0,0,0,5348,4275,0.0,273,54.6
181,187,0,0,0,0,0,5360,4272,0.0,274,54.8
181,181,0,0,0,0,0,5371,4267,0.0,275,55.0
175,176,0,0,0,0,0,5385,4264,0.0,276,55.2
172,170,0,0,0,0,0,5395,4263,0.0,277,55.4
166,171,0,0,0,0,0,5405,4258,0.0,278,55.6
161,165,0,0,0,0,0,5416,4258,0.0,279,55.8
160,161,0,0,0,0,0,5423,4256,0.0,280,56.0
151,156,0,0,0,0,0,5437,4256,0.0,281,56.2
149,149,0,0,0,0,0,5448,4254,0.0,282,56.4
141,148,0,0,0,0,0,5457,4254,0.0,283,56.6
138,147,0,0,0,0,0,5462,4253,0.0,284,56.8
131,148,0,0,0,0,0,5469,4252,0.0,285,57.0
123,155,0,0,0,0,0,5472,4250,0.0,286,57.2
123,147,0,0,0,0,0,5483,4247,0.0,287,57.4
122,148,0,0,0,0,0,5488,4242,0.0,288,57.6
122,140,0,0,0,0,0,5499,4239,0.0,289,57.8
119,134,0,0,0,0,0,5511,4236,0.0,290,58.0
121,131,0,0,0,0,0,5519,4229,0.0,291,58.2
121,132,0,0,0,0,0,5521,4226,0.0,292,58.4
114,139,0,0,0,0,0,5522,4225,0.0,293,58.6
117,130,0,0,0,0,0,5534,4219,0.0,294,58.8
108,138,0,0,0,0,0,5538,4216,0.0,295,59.0
107,134,0,0,0,0,0,5544,4215,0.0,296,59.2
102,131,0,0,0,0,0,5552,4215,0.0,297,59.4
103,122,0,0,0,0,0,5564,4211,0.0,298,59.6
102,120,0,0,0,0,0,5570,4208,0.0,299,59.8
97,123,0,0,0,0,0,5575,4205,0.0,300,60.0
100,115,0,0,0,0,0,5585,4200,0.0,301,60.2
96,115,0,0,0,0,0,5590,4199,0.0,302,60.4
97,113,0,0,0,0,0,5593,4197,0.0,303,60.6
97,107,0,0,0,0,0,5600,4196,0.0,304,60.8
97,108,0,0,0,0,0,5603,4192,0.0,305,61.0
96,105,0,0,0,0,0,5610,4189,0.0,306,61.2
95,103,0,0,0,0,0,5615,4187,0.0,307,61.4
90,99,0,0,0,0,0,5624,4187,0.0,308,61.6
88,100,0,0,0,0,0,5628,4184,0.0,309,61.8
82,101,0,0,0,0,0,5634,4183,0.0,310,62.0
85,97,0,0,0,0,0,5639,4179,0.0,311,62.2
80,100,0,0,0,0,0,5642,4178,0.0,312,62.4
79,90,0,0,0,0,0,5653,4178,0.0,313,62.6
77,86,0,0,0,0,0,5659,4178,0.0,314,62.8
77,84,0,0,0,0,0,5663,4176,0.0,315,63.0
72,85,0,0,0,0,0,5668,4175,0.0,316,63.2
