exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
951,670,0,0,0,0,0,2733,5646,0.0,182,36.4
952,658,0,0,0,0,0,2779,5611,0.0,183,36.6
941,659,0,0,0,0,0,2809,5591,0.0,184,36.8
940,652,0,0,0,0,0,2850,5558,0.0,185,37.0
916,660,0,0,0,0,0,2889,5535,0.0,186,37.2
899,670,0,0,0,0,0,2929,5502,0.0,187,37.4
881,665,0,0,0,0,0,2977,5477,0.0,188,37.6
877,645,0,0,0,0,0,3024,5454,0.0,189,37.8
865,643,0,0,0,0,0,3067,5425,0.0,190,38.0
850,637,0,0,0,0,0,3111,5402,0.0,191,38.2
839,614,0,0,0,0,0,3160,5387,0.0,192,38.4
823,614,0,0,0,0,0,3196,5367,0.0,193,38.6
809,610,0,0,0,0,0,3231,5350,0.0,194,38.8
795,602,0,0,0,0,0,3271,5332,0.0,195,39.0
784,598,0,0,0,0,0,3315,5303,0.0,196,39.2
774,592,0,0,0,0,0,3351,5283,0.0,197,39.4
770,588,0,0,0,0,0,3382,5260,0.0,198,39.6
769,582,0,0,0,0,0,3415,5234,0.0,199,39.8
759,582,0,0,0,0,0,3449,5210,0.0,200,40.0
748,572,0,0,0,0,0,3485,5195,0.0,201,40.2
716,585,0,0,0,0,0,3517,5182,0.0,202,40.4
699,582,0,0,0,0,0,3559,5160,0.0,203,40.6
685,576,0,0,0,0,0,3597,5142,0.0,204,40.8
678,570,0,0,0,0,0,3628,5124,0.0,205,41.0
676,566,0,0,0,0,0,3661,5097,0.0,206,41.2
664,557,0,0,0,0,0,3695,5084,0.0,207,41.4
658,539,0,0,0,0,0,3741,5062,0.0,208,41.6
642,536,0,0,0,0,0,3773,5049,0.0,209,41.8
631,531,0,0,0,0,0,3805,5033,0.0,210,42.0
617,528,0,0,0,0,0,3832,5023,0.0,211,42.2
601,533,0,0,0,0,0,3862,5004,0.0,212,42.4
604,513,0,0,0,0,0,3898,4985,0.0,213,42.6
599,500,0,0,0,0,0,3933,4968,0.0,214,42.8
589,489,0,0,0,0,0,3969,4953,0.0,215,43.0
583,480,0,0,0,0,0,4001,4936,0.0,216,43.2
574,488,0,0,0,0,0,4021,4917,0.0,217,43.4
555,484,0,0,0,0,0,4054,4907,0.0,218,43.6
540,484,0,0,0,0,0,4079,4897,0.0,219,43.8
529,489,0,0,0,0,0,4098,4884,0.0,220,44.0
513,488,0,0,0,0,0,4127,4872,0.0,221,44.2
490,488,0,0,0,0,0,4159,4863,0.0,222,44.4
484,475,0,0,0,0,0,4191,4850,0.0,223,44.6
477,464,0,0,0,0,0,4217,4842,0.0,224,44.8
465,460,0,0,0,0,0,4244,4831,0.0,225,45.0
460,450,0,0,0,0,0,4271,4819,0.0,226,45.2
